acces access
accessible accessible
account account
accuracy accuracy
action actions
add add
additional additional
advantage advantage
afford afford
aggregat aggregating
agree agree
ahm ahmed
almost almost
amount amounted
analysi analysis
antoine antoine
api api
appearance appearance
application application applications
apply apply
april april
area area
articl articles
article article
assess assessing
assurance assurance
attempt attempts
attribution attribution
auer auer
automate automate
available available
bas based
begin begin
bioinformatic bioinformatics
bn bn
busines business
business businesses
buy buys
canadian canadian
catalog catalogs
category categories
ccece ccece
challeng challenges
chang changes
christoph christoph
cid cid
cite cite
code code
collect collected collecting
collection collection
com com
commerce commerce
community community
company companies
comparison comparison
competition competitions
computer computer
conduct conduct conducted
conference conference
consultancy consultancy
contact contact contacts
content content
context context
contribute contribute
cookie cookie
corporate corporate
cost cost costing
create create
creative creative
current current
data data
databas databases
database database
datascienceassn datascienceassn
de de
december december
description description
detection detection
developer developers
development development
different different
disclaimer disclaimers
donate donate
download download
due due
dunja dunja
ecommerce ecommerce
eds eds
electrical electrical
electronic electronic
embedd embedded
empty empty
en en
enabl enabling
encyclopedia encyclopedia encyclopedias
engin engines
engineer engineering
english english
estimat estimates
even even
event events
ever ever
expect expected
export export
extend extends
extension extension
extraction extraction
fact fact
field fields
file file
focus focused
forensic forensic
form forms
foundation foundation
fraud fraud
free free
fusion fusion
garc garc
general general
generally generally
generat generated
get get
gim gim
giuseppe giuseppe
global global
go go
government government
group group
happen happen
harald harald
harsh harsh
hdl hdl
healthcare healthcare
help help
heterogeneou heterogeneous
hidden hidden
history history
homogeneou homogeneous
hongwei hongwei
html html
http https
ibm ibm
ie ie
ieee ieee
ijeb ijeb
implicitly implicitly
import import
important important
inc inc
includ includes including
increas increasing
index index
info info
information information
integrate integrate
integration integration
intelligence intelligence
international international
introduction introduction
io io
item item
jos jos
journal journal
june june
kaggle kaggle
kauranen kauranen
kusiri kusiri
lange lange
languag languages
last last
learn learn learning
lecture lecture
legal legal
leipzig leipzig
les less
license license
like like
limit limited
link link
log log
london london
lower lower
machine machine
madnick madnick
main main
manag managing
management management
mannheim mannheim
many many
mapp mapping
market market
may may
mechanism mechanism
michael michael
mladeni mladeni
mobile mobile
monitor monitored
move move
nadine nadine
ne need
nez nez
non non
number number
often often
oldid oldid
online online
open open
opima opimas
org org
organization organization
osial osial
pag pages
page page
pagerank pagerank
pay pay
pdf pdf pdfs
permanent permanent
personal personal
pharma pharma
pharmaceutical pharmaceutical
php php
platform platform
policy policy
poor poor
portal portal
pp pp
price price
print print
printable printable
privacy privacy
proces process
product product products
profit profit
project projects
protocol protocols
publicly publicly
publish publishing
pwc pwc
quality quality
query query
random random
rat rating
re re
reach reach
read read
recent recent
recommendation recommendation recommendations
referr referred
register registered
relat related
ren ren
requir required
result results
revamp revamping
revenue revenue
revolutioniz revolutionizing
rizzo rizzo
sack sack
safety safety
scale scale
science science
scrap scraping
see see
semantic semantic
semi semi
sharealike sharealike
short short
shorten shortened
siegel siegel
similarly similarly
single single
sit sites
site site
smartphone smartphone
sourc sourced sources
source source
sparql sparql
special special
specializ specializes
specialization specialization
spend spending
spreadsheet spreadsheets
springer springer
standard standard
start start
statement statement
statistic statistics
steinmetz steinmetz
structur structured
stuart stuart
system system systems
tabl tables
table table
tak taking
talk talk
technical technical
techniqu techniques
term terms
text text
th th
thakkar thakkar
time time
title title
tool tools
top top
topic topic
trademark trademark
transformation transformation
trillion trillion
trust trust trusted
try try
ui ui
uk uk
understand understanding
uni uni
unstructur unstructured
upload upload
url url
us us using
usd usd
use use
user user users
utc utc
veracity veracity
version version
view view views
vol vol
way way
wdi wdi
web web
webdataintegration webdataintegration
websit websites
website website
wikimedia wikimedia
wikipedia wikipedia
without without
work work
workflow workflow
www www
year year
zhu zhu
zimmermann zimmermann
