access accessed
account account
action actions
add add
additional additional
addres address
afrikaan afrikaans
agree agree
ais ais
also also
anyone anyone
app app apps
appearance appearance
application application
apply apply
april april
aragon aragon
articl articles
article article
asturianu asturianu
attack attacks
attribution attribution
august august
automat automated
available available
az az
bahasa bahasa
bar bar
bas based
basi basis
behavior behavior
behind behind
beij beijing
boarisch boarisch
bokm bokm
book book
bosanski bosanski
bound bound
browser browser browsers
cas cases
cascad cascading
catal catal
category categories
chang changed changes
change change
chitumbuka chitumbuka
chron chron
cite cite
click clicks
client client
cloudflare cloudflare
code code
combine combine
common common
community community
complex complex
component components
conduct conduct
consist consists
contact contact contacts
content content
contribute contribute
cookie cookie
core core
creat created
create create
creative creative
creator creators
cros cross
csp csp
css css
current current
custom custom
dat dates
database database
david david
definition definition
definitive definitive
deliver delivering
deployment deployment
description description
design design
deutsch deutsch
developer developers
dictionary dictionary
difference difference
different different
disclaimer disclaimers
display displayed
distinct distinct
dmy dmy
doc docs
document document
domain domain
donate donate
download download
dynamic dynamic
eavesdropp eavesdropping
eesti eesti
element element elements
embedd embedded
en en
enabl enabling
encrypt encrypted
encyclopedia encyclopedia
engine engine
english english
espa espa
esperanto esperanto
euskara euskara
event events
evolve evolve
example example
export export
farnham farnham
featur features
february february
fil files
file file
fill fill
first first
flanagan flanagan
fly fly
foundation foundation
fran fran
franca franca
free free
gaeilge gaeilge
galego galego
garsiel garsiel
general general
get get
greatly greatly
guide guide
help help
hidden hidden
history history
home home
hrvatski hrvatski
html html
http http https
hypertext hypertext
identifi identified
ido ido
imag images
ina ina
inc inc
includ including
index index
indicate indicate
indonesia indonesia
information information
input inputs
interactive interactive
interlingua interlingua
italiano italiano
item item
january january
javascript javascript
jawa jawa
june june
kiswahili kiswahili
known known
kurd kurd
languag languages
language language
largely largely
last last
latvie latvie
learn learn
legal legal
license license
lietuvi lietuvi
lingua lingua
link link linked
load load
locator locator
log log
logic logic
magazine magazine
magyar magyar
main main
mainstream mainstream
majority majority
management management
manner manner
manually manually
many many
march march
markup markup
may may
mdn mdn
mean meaning means
melayu melayu
melendez melendez
metaphor metaphor
mobile mobile
mode mode
modern modern
modification modification
move move
must must
name name
nasa nasa
necessary necessary
nederland nederlands
new new
newer newer
ng ng
non non
norsk norsk
nova nova
occitan occitan
oclc oclc
october october
ol ol
oldid oldid
one one
optional optional
org org
organization organization
original original
pag pages
page page
paper paper
part part
particular particular
party party
pc pc
pdf pdf
permanent permanent
personal personal
perspective perspective
php php
policy policy
polski polski
portal portal
portugu portugu
possibility possibility
presentation presentation
print print
printable printable
privacy privacy
proces process
profit profit
program programs
programm programming
progressive progressive
project projects
protect protects
protocol protocol
provid provided provides
qaraqalpaqsha qaraqalpaqsha
random random
range range
rbaycanca rbaycanca
read read reading
recent recent
reduc reduces
register registered
regular regular
reilly reilly
relat related
repeat repeats
representation representation
request request
resource resource
result results
retriev retrieves
rk rk
rom rom
rul rules
runa runa
safety safety
scen scenes
scott scott
screen screen
script scripting
security security
see see
sent sent
separate separate
server server
sharealike sharealike
sheet sheets
short short
shorten shortened
side side
simi simi
simple simple
single single
sit sites
site site
slenska slenska
slightly slightly
sloven sloven
someth something
sophisticat sophisticated
special special
specify specifies specify
srpski srpski
srpskohrvatski srpskohrvatski
state state
statement statement
static static
statistic statistics
steven steven
still still
structur structured
style style
suomi suomi
supplement supplement
support supported
svenska svenska
system system
table table
tagalog tagalog
tali tali
talk talk
tap taps
tatar tatar
tech techs
technology technologies
term term terms
text text
therefore therefore
third third
ti ti
time time
tina tina
title title
together together
tool tools
top top
topic topic
trademark trademark
transfer transfer
transform transforms
triad triad
two two
typ types
typically typically
unchang unchanged
uniform uniform
upload upload
url url
us us used using
usage usage
use use
user user
utc utc
vast vast
version version
vi vi
video video
view view
visible visible
visit visited
visual visual
way way
web web
webassembly webassembly
webpage webpage
websit websites
website website
wide wide
wikimedia wikimedia
wikipedia wikipedia
within within
without without
wolof wolof
world world
written written
zbekcha zbekcha
